Item type,Item ID,Compiler #,Cockpit priority,Urgency score,Phase,Suggested decision,Chapter or lane,Date,Title,Release or status,Pages,NAID or targets,Decision question,Next action,Pending tasks,Linked sheets,Source note or need,Catalog URL,PDF URL
Confirmed record,nsc-source-446396904,2.028,Critical,114,Resolve access,Defer or cite only,Pakistan,1992-07-10,"NSD-70 - July 10, 1992 - U.S. Nonproliferation Policy",Restricted - Possibly,101 pages,446396904; 90005-020,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #44: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSD Files, NSD-70 - July 10, 1992 - U.S. Nonproliferation Policy, 90005-020. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396904,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-70-90005-020.pdf
Confirmed record,bush-library-428082131,3.010,High,109,Review excisions,Defer pending excisions review,India,1992-01-31,Memorandum of Conversation,Partial,3 pages,428082131; [Memorandum of Conversations (Memcons)-January 1992-June 1992]: January 1992,"Do the released pages support selection, or should the item be deferred/cited only because of excisions?",Review excisions and decide whether the released text can support selection; record any cite-only rationale.,"Partial/excision check: Review excisions and decide whether the released text can support selection; record any cite-only rationale.; Medium boundary #76: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Partial-release/excision wording: Inspect the released PDF for excisions, then decide whether the visible Source Note should state partial release or whether the record is cite-only/deferred.; Excisions decision: The released text is partial; check excisions before treating the document as selectable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1992-June 1992]: January 1992. Partial release.",https://catalog.archives.gov/id/428082131,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-01-31--Rao.pdf
Confirmed record,bush-library-428082401,2.029,High,109,Review excisions,Defer pending excisions review,Pakistan,1992-12-03,Memorandum of Telephone Conversation,Partial,2 pages,428082401; [Memorandum of Telephone Conversations (Telcons) - July 1992-January 1993]:  December 1992,"Do the released pages support selection, or should the item be deferred/cited only because of excisions?",Review excisions and decide whether the released text can support selection; record any cite-only rationale.,"Partial/excision check: Review excisions and decide whether the released text can support selection; record any cite-only rationale.; Medium boundary #77: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Partial-release/excision wording: Inspect the released PDF for excisions, then decide whether the visible Source Note should state partial release or whether the record is cite-only/deferred.; Excisions decision: The released text is partial; check excisions before treating the document as selectable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - July 1992-January 1993]: December 1992. Partial release.",https://catalog.archives.gov/id/428082401,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-12-03--Sharif.pdf
Confirmed record,bush-library-428082145,4.006,High,106,Fix page boundaries,Review before selection,Regional,1992-03-19,Memorandum of Conversation,Full,6 pages,428082145; [Memorandum of Conversations (Memcons)-January 1992-June 1992]: March 1992,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.","Critical boundary #11: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1992-June 1992]: March 1992. Full release.",https://catalog.archives.gov/id/428082145,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-03-19--Zia.pdf
Compiler gap,gap-source-note-quality,,High,105,Close gap,Resolve research task,Metadata Quality,,"Audit source notes, titles, and provenance before final numbering",Open,,428080057; 428080317; 428081443; 428082145,"Do title, date, source location, page extent, access language, and provenance agree with the PDF/citation sheet or catalog item?",Spot-check Scowcroft-derived presidential conversation titles against PDF or catalog title pages.,Research task: Run a metadata audit after the page-level pass and before treating compiler numbering as final.,compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,Run a metadata audit after the page-level pass and before treating compiler numbering as final.,,
Compiler gap,gap-public-papers-curation,,High,105,Close gap,Resolve research task,Public Record,,"Curate Public Papers as locators, not automatic document candidates",Triaged,,,"Can the compiler record Select, Exclude, Defer, Cite only, or Resolved with a stable rationale and source note?",Keep broad news conferences and speeches out of the confirmed record set unless they contain document-level South Asia policy decisions.,"Research task: Classify each public item as selected text, locator for internal files, chronology-only context, or out-of-scope mention.",compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,"Classify each public item as selected text, locator for internal files, chronology-only context, or out-of-scope mention.",,
Potential lead,catalog-lead-470426597,,High,104,Fix page boundaries,Screen for promotion,Afghanistan,1989-01-01,Working Files - Afghanistan 1989-1992 [2],High-priority source review lead; Online object available,,470426597,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.","Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Critical boundary #1: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Working Files, Working Files - Afghanistan 1989-1992 [2]. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426597,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/working_2554877/41-bpr-nsc-haass_working-cf01304-011.pdf
Potential lead,catalog-lead-470426255,,High,104,Fix page boundaries,Screen for promotion,Afghanistan,1989-01-20,Afghanistan - Charles,High-priority source review lead; Online object available,,470426255,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.","Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Critical boundary #2: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, Afghanistan - Charles. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426255,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01447-013.pdf
Confirmed record,nsc-source-446394933,4.001,High,102,Resolve access,Defer or cite only,Regional,1989-02-22,"NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia",Restricted - Possibly,95 pages,446394933; 90006-011,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; Medium boundary #65: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSR Files, NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia, 90006-011. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446394933,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-8-90006-011.pdf
Confirmed record,nsc-source-470760991,4.002,High,102,Resolve access,Defer or cite only,Regional,1989-04-07,"NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia",Restricted - Possibly,102 pages,470760991; 90009-017,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; Medium boundary #68: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, 90009-017. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760991,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf
Confirmed record,nsc-source-446396836,4.003,High,102,Resolve access,Defer or cite only,Regional,1989-08-29,"NSD-20 - August 29, 1989 - U.S. Policy toward South Asia",Restricted - Possibly,45 pages,446396836; 90003-027,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; Medium boundary #72: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSD Files, NSD-20 - August 29, 1989 - U.S. Policy toward South Asia, 90003-027. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396836,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-20-90003-027.pdf
Confirmed record,bush-library-428080031,2.005,High,96,Fix page boundaries,Review before selection,Pakistan,1989-06-06,Memorandum of Conversation,Full,3 pages,428080031; [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","High boundary #58: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Citation sheet/title-page verification: Open the linked PDF and Catalog item, then confirm title, date, file unit, series, local identifier or source pages, and release language against the citation sheet or title page.; Page-boundary/source-note decision: The document is available, but source title, source note, or page-boundary evidence still needs compiler review.",compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989. Full release.",https://catalog.archives.gov/id/428080031,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-06-06--Bhutto.pdf
Potential lead,catalog-lead-645607685,,High,94,Fix page boundaries,Screen for promotion,Afghanistan,1989-01-20,Afghanistan,High-priority source review lead; Online object available,,645607685,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Unrestricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #12: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Afghanistan. Unrestricted.",https://catalog.archives.gov/id/645607685,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31827-001.pdf
Potential lead,catalog-lead-645607321,,High,94,Fix page boundaries,Screen for promotion,Afghanistan,1989-01-20,Afghanistan [1],High-priority source review lead; Online object available,,645607321,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #13: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Afghanistan [1]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645607321,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31812-001.pdf
Potential lead,catalog-lead-645607323,,High,94,Fix page boundaries,Screen for promotion,Afghanistan,1989-01-20,Afghanistan [2],High-priority source review lead; Online object available,,645607323,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #14: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Afghanistan [2]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645607323,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31812-002.pdf
Potential lead,catalog-lead-645607415,,High,94,Fix page boundaries,Screen for promotion,India,1989-01-20,India,High-priority source review lead; Online object available,,645607415,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #15: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645607415,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31815-004.pdf
Potential lead,catalog-lead-645608141,,High,94,Fix page boundaries,Screen for promotion,India,1989-01-20,India [1],High-priority source review lead; Online object available,,645608141,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #16: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [1]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645608141,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31847-001.pdf
Potential lead,catalog-lead-645607135,,High,94,Fix page boundaries,Screen for promotion,India,1989-01-20,India [1],High-priority source review lead; Online object available,,645607135,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #16: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [1]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645607135,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31802-007.pdf
Potential lead,catalog-lead-645608143,,High,94,Fix page boundaries,Screen for promotion,India,1989-01-20,India [2],High-priority source review lead; Online object available,,645608143,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #18: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [2]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645608143,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31847-002.pdf
Potential lead,catalog-lead-645607137,,High,94,Fix page boundaries,Screen for promotion,India,1989-01-20,India [2],High-priority source review lead; Online object available,,645607137,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #18: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [2]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645607137,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31802-008.pdf
Potential lead,catalog-lead-645607805,,High,94,Fix page boundaries,Screen for promotion,India,1989-01-20,India [A],High-priority source review lead; Online object available,,645607805,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #20: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [A]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645607805,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31832-001.pdf
Potential lead,catalog-lead-645607807,,High,94,Fix page boundaries,Screen for promotion,India,1989-01-20,India [B],High-priority source review lead; Online object available,,645607807,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #21: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [B]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645607807,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31832-002.pdf
Potential lead,catalog-lead-645608235,,High,94,Fix page boundaries,Screen for promotion,Pakistan,1989-01-20,Pakistan,High-priority source review lead; Online object available,,645608235,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #22: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645608235,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31850-010.pdf
Potential lead,catalog-lead-645607905,,High,94,Fix page boundaries,Screen for promotion,Pakistan,1989-01-20,Pakistan [A],High-priority source review lead; Online object available,,645607905,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; High boundary #23: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [A]. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645607905,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31836-005.pdf
